cid	size	cluster
Containing	4	hold.v,contain.v,store.v,house.v
Rape	5	sexually assault.v,rape.n,rapist.n,rape.v,raped.a
Undergoing_scenario	0	
Measure_duration	14	century.n,millennium.n,day.n,month.n,nanosecond.n,minute.n,hour.n,time.n,second.n,decade.n,week.n,year.n,a while.n,fortnight.n
Network	2	web.n,network.n
Transition_to_state	3	get.v,grow.v,end up.v
Candidness	29	honest.a,blunt.a,open.a,outspoken.a,evasive.a,circumspect.a,honesty.n,ingenuous.a,coy.a,sincere.a,bluntness.n,candour.n,forthrightness.n,truthful.a,explicit.a,straight.a,discreet.a,earnest.a,straightforward.a,earnestness.n,dishonest.a,forthright.a,devious.a,frank.a,disingenuous.a,true.a,forthcoming.a,candid.a,secretive.a
Completeness	5	incomplete.a,full.a,total.a,completeness.n,complete.a
Speak_on_topic	15	sermonize.v,go on.v,address.v,address.n,expound.v,tell.v,preach.v,hold forth.v,ramble.v,discuss.v,lecture.v,pontificate.v,lecture.n,deal.v,expatiate.v
Employment_end	0	
Telling	11	tell.v,notify.v,let know.v,notification.n,assurance.n,inform.v,advise.v,brief.v,assure.v,apprise.v,confide.v
Process_stopped_state	0	
Committing_crime	4	commission.n,commit.v,crime.n,perpetrate.v
Arraignment	2	arraignment.n,arraign.v
Dying	2	moribund.a,dying.a
Locative_scenario	0	
Lively_place	12	bustle.v,hum.v,jumping.a,hopping.a,abustle.a,buzz.v,abuzz.a,happening.a,hectic.a,frenetic.a,busy.a,lively.a
Surrendering_possession	4	yield.v,give up.v,surrender.v,relinquish.v
Reveal_secret	19	revelation.n,expose.v,confide.v,let on.v,come clean.v,admit.v,spill beans.v,come forward.v,confession.n,tip (someone's) hand.idio,divulge.v,confess.v,disclosure.n,divulgence.n,leak.v,let slip.v,fess up.v,reveal.v,disclose.v
Corporal_punishment	8	flog.v,cane.v,caning.n,scourge.v,spank.v,lash.n,paddle.v,flogging.n
Causation_scenario	0	
Commerce_sell	9	auction.v,sell.v,auction.n,seller.n,vend.v,vendor.n,sale.n,retailer.n,retail.v
Activity_done_state	3	through.a,finished.a,done.a
Locale_by_collocation	2	position.n,location.n
Manipulation	39	diddle.v,clutch.v,stroke.v,hold.v,finger.v,tickle.v,grab.v,handle.v,grasp.v,kiss.n,nudge.v,poke.v,grip.v,knead.v,massage.v,nip.v,paw.v,pinch.v,pull.v,push.v,seize.v,squeeze.v,tug.v,tweak.v,wring.v,yank.v,fumble.v,grope.v,stroke.n,rub.v,grab hold.v,pull.n,touch.v,lick.v,kiss.v,clasp.v,caress.v,caress.n,claw.v
Seeking	18	look.v,search.v,manhunt.n,listen.v,feel.v,rummage.v,watch.v,nose.v,palpate.v,pan.v,pat down.v,seek.v,forage.v,dig.v,grope.v,fumble.v,hunt.v,sniff.v
Activity_start	14	neophyte.n,swing (into).v,initiate.v,start.v,begin.v,get started.v,commence.v,open.v,set about.v,beginner.n,strike up.v,take up.v,launch (into).v,enter.v
Erasing	5	strike.v,kill.v,erase.v,delete.v,expunge.v
Planned_trajectory	1	way.n
People_by_residence	3	roommate.n,housemate.n,neighbor.n
Food	71	shellfish.n,shrimp.n,lobster.n,milk.n,cheese.n,egg.n,butter.n,nut.n,almond.n,peanut.n,pasta.n,noodle.n,herb.n,spice.n,pepper.n,basil.n,cereal.n,lettuce.n,berry.n,apple.n,bread.n,roll.n,cracker.n,cake.n,pancake.n,cheesecake.n,pastry.n,croissant.n,fruit.n,cookie.n,biscuit.n,sweet.n,chocolate.n,sweetener.n,sugar.n,honey.n,fat.n,oil.n,vinegar.n,coffee.n,juice.n,soup.n,stew.n,sauce.n,dressing.n,vinaigrette.n,ketchup.n,mayonnaise.n,lasagne.n,food.n,banana.n,tea.n,carrot.n,water.n,vegetable.n,date.n,potato.n,cabbage.n,veal.n,MRE.n,pea.n,beer.n,meat.n,beef.n,lamb.n,poultry.n,chicken.n,turkey.n,fish.n,salmon.n,tuna.n
Aesthetics	9	lovely.a,ugly.a,fair.a,hideous.a,handsome.a,elegant.a,tasty.a,beautiful.a,smart.a
Social_event_individuals	1	go out with.v
Manipulate_into_shape	7	wind.v,mold.v,loop.v,curl.v,coil.v,roll (into).v,twist.v
Quitting	9	retire.v,stand down.v,quit.v,retirement.n,resign.v,leave.v,give notice.idio,resignation.n,step down.v
