frameName	frame_description	gold_terms	original term	sentence	match gold	does not fit context	fit context NOT frame	fit context AND frame
Fastener	The Fastener is an artifact created to close a Container (e.g. coat, jar). Sometimes, the Container_portal rather than the Container is expressed.	buckle,button,seal,zipper	seal	May they preserve us from the hermetic <lock> .	0		2	
Fastener		buckle,button,seal,zipper	seal	May they preserve us from the hermetic <oath> .	0		2	
Fastener		buckle,button,seal,zipper	seal	May they preserve us from the hermetic <mark> .	0	1		
Fastener		buckle,button,seal,zipper	seal	May they preserve us from the hermetic <trap> .	0		2	
Fastener		buckle,button,seal,zipper	seal	May they preserve us from the hermetic <kiss> .	0	1		
Fastener		buckle,button,seal,zipper	seal	May they preserve us from the hermetic <bond> .	0		2	
Fastener		buckle,button,seal,zipper	seal	May they preserve us from the hermetic <sign> .	0	1		
Fastener		buckle,button,seal,zipper	seal	May they preserve us from the hermetic <circle> .	0		2	
Fastener		buckle,button,seal,zipper	seal	May they preserve us from the hermetic <shield> .	0		2	
Fastener		buckle,button,seal,zipper	seal	May they preserve us from the hermetic <barrier> .	0		2	
Body_parts	This frame covers words for Body_part(s) (BP) belonging to a Possessor (Poss), which may be characterized by a Descriptor (Desc). The location of the BP may be identified in terms of  its Attachment or its Orientational_location.  A Subregion of a BP may also be indicated.  	ankle,antenna,antler,anus,appendage,arm,back,beak,beard,belly,bill,body,breast,brow,buttocks,cheek,chest,chin,claw,crown,ear,earlobe,elbow,eye,eyelid,face,fang,feeler,fin,finger,fingernail,fingertip,flesh,flipper,fluke,foot,forearm,forefinger,forefoot,forehead,foreleg,forelimb,forepaw,groin,hair,hand,head,heel,hindleg,hindlimb,hindquarters,hoof,horn,incisor,jaw,knee,leg,limb,lip,lung,mane,maw,member,midriff,mouth,mustache,muzzle,nape,navel,neck,nose,nostril,paw,pelt,pupil,rump,shoulder,skin,snout,sole,tail,talon,temple,tentacle,thigh,thorax,throat,thumb,toe,toenail,tongue,tooth,trunk,whisker,wing	limbs	His thin companion folded his <legs> like an insect as he sat down .	1			3
Body_parts		ankle,antenna,antler,anus,appendage,arm,back,beak,beard,belly,bill,body,breast,brow,buttocks,cheek,chest,chin,claw,crown,ear,earlobe,elbow,eye,eyelid,face,fang,feeler,fin,finger,fingernail,fingertip,flesh,flipper,fluke,foot,forearm,forefinger,forefoot,forehead,foreleg,forelimb,forepaw,groin,hair,hand,head,heel,hindleg,hindlimb,hindquarters,hoof,horn,incisor,jaw,knee,leg,limb,lip,lung,mane,maw,member,midriff,mouth,mustache,muzzle,nape,navel,neck,nose,nostril,paw,pelt,pupil,rump,shoulder,skin,snout,sole,tail,talon,temple,tentacle,thigh,thorax,throat,thumb,toe,toenail,tongue,tooth,trunk,whisker,wing	limbs	His thin companion folded his <arms> like an insect as he sat down .	1			3
Body_parts		ankle,antenna,antler,anus,appendage,arm,back,beak,beard,belly,bill,body,breast,brow,buttocks,cheek,chest,chin,claw,crown,ear,earlobe,elbow,eye,eyelid,face,fang,feeler,fin,finger,fingernail,fingertip,flesh,flipper,fluke,foot,forearm,forefinger,forefoot,forehead,foreleg,forelimb,forepaw,groin,hair,hand,head,heel,hindleg,hindlimb,hindquarters,hoof,horn,incisor,jaw,knee,leg,limb,lip,lung,mane,maw,member,midriff,mouth,mustache,muzzle,nape,navel,neck,nose,nostril,paw,pelt,pupil,rump,shoulder,skin,snout,sole,tail,talon,temple,tentacle,thigh,thorax,throat,thumb,toe,toenail,tongue,tooth,trunk,whisker,wing	limbs	His thin companion folded his <hands> like an insect as he sat down .	1			3
